Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
96,21,6,117,2,Some Random Commen with Id 96
97,21,6,70,1,Some Random Commen with Id 97
98,21,6,140,4,Some Random Commen with Id 98
99,21,6,164,7,Some Random Commen with Id 99
100,21,6,91,4,Some Random Commen with Id 100
101,21,6,155,0,Some Random Commen with Id 101
102,22,5,154,9,Some Random Commen with Id 102
103,23,9,165,5,Some Random Commen with Id 103
104,23,9,60,3,Some Random Commen with Id 104
105,23,9,93,9,Some Random Commen with Id 105
106,23,9,130,3,Some Random Commen with Id 106
107,23,9,39,2,Some Random Commen with Id 107
108,23,9,71,3,Some Random Commen with Id 108
109,24,0,41,5,Some Random Commen with Id 109
110,24,0,69,7,Some Random Commen with Id 110
111,24,0,90,5,Some Random Commen with Id 111
112,24,0,37,1,Some Random Commen with Id 112
113,24,0,83,9,Some Random Commen with Id 113
114,24,0,103,8,Some Random Commen with Id 114
115,24,0,152,0,Some Random Commen with Id 115
116,25,6,48,0,Some Random Commen with Id 116
117,25,6,70,3,Some Random Commen with Id 117
118,25,6,143,1,Some Random Commen with Id 118
119,25,6,26,4,Some Random Commen with Id 119
120,25,6,145,5,Some Random Commen with Id 120
121,26,0,93,2,Some Random Commen with Id 121
122,26,0,189,1,Some Random Commen with Id 122
123,26,0,76,8,Some Random Commen with Id 123
124,27,8,29,9,Some Random Commen with Id 124
125,27,8,147,4,Some Random Commen with Id 125
126,27,8,79,2,Some Random Commen with Id 126
127,27,8,35,7,Some Random Commen with Id 127
128,28,2,46,1,Some Random Commen with Id 128
129,28,2,98,8,Some Random Commen with Id 129
130,29,1,73,5,Some Random Commen with Id 130
131,29,1,133,9,Some Random Commen with Id 131
132,29,1,31,0,Some Random Commen with Id 132
133,29,1,18,7,Some Random Commen with Id 133
134,29,1,49,1,Some Random Commen with Id 134
135,30,8,163,0,Some Random Commen with Id 135
136,30,8,148,9,Some Random Commen with Id 136
137,30,8,3,0,Some Random Commen with Id 137
138,30,8,104,6,Some Random Commen with Id 138
139,30,8,132,9,Some Random Commen with Id 139
140,30,8,184,1,Some Random Commen with Id 140
141,30,8,19,2,Some Random Commen with Id 141
142,31,8,146,1,Some Random Commen with Id 142
143,31,8,136,7,Some Random Commen with Id 143
144,31,8,151,5,Some Random Commen with Id 144
145,31,8,27,5,Some Random Commen with Id 145
146,31,8,88,5,Some Random Commen with Id 146
147,31,8,45,8,Some Random Commen with Id 147
148,31,8,165,8,Some Random Commen with Id 148
149,31,8,154,5,Some Random Commen with Id 149
150,31,8,169,7,Some Random Commen with Id 150
151,32,4,62,0,Some Random Commen with Id 151
152,32,4,98,3,Some Random Commen with Id 152
153,32,4,13,5,Some Random Commen with Id 153
154,32,4,133,1,Some Random Commen with Id 154
155,32,4,175,1,Some Random Commen with Id 155
156,32,4,31,4,Some Random Commen with Id 156
157,32,4,171,1,Some Random Commen with Id 157
158,33,6,101,9,Some Random Commen with Id 158
159,33,6,150,8,Some Random Commen with Id 159
160,34,4,48,1,Some Random Commen with Id 160
161,34,4,110,7,Some Random Commen with Id 161
162,34,4,87,0,Some Random Commen with Id 162
163,34,4,115,3,Some Random Commen with Id 163
164,34,4,114,2,Some Random Commen with Id 164
165,34,4,124,2,Some Random Commen with Id 165
166,34,4,76,1,Some Random Commen with Id 166
167,34,4,174,3,Some Random Commen with Id 167
168,35,4,114,6,Some Random Commen with Id 168
169,35,4,73,6,Some Random Commen with Id 169
170,35,4,26,7,Some Random Commen with Id 170
171,35,4,64,6,Some Random Commen with Id 171
172,35,4,94,2,Some Random Commen with Id 172
173,35,4,107,4,Some Random Commen with Id 173
174,35,4,112,7,Some Random Commen with Id 174
175,35,4,168,1,Some Random Commen with Id 175
176,35,4,16,8,Some Random Commen with Id 176
177,36,7,92,5,Some Random Commen with Id 177
178,36,7,177,3,Some Random Commen with Id 178
179,36,7,63,4,Some Random Commen with Id 179
180,36,7,154,0,Some Random Commen with Id 180
181,36,7,12,7,Some Random Commen with Id 181
182,36,7,2,1,Some Random Commen with Id 182
183,36,7,16,1,Some Random Commen with Id 183
184,36,7,156,2,Some Random Commen with Id 184
185,37,6,11,9,Some Random Commen with Id 185
186,38,2,7,5,Some Random Commen with Id 186
187,38,2,103,7,Some Random Commen with Id 187
188,38,2,88,7,Some Random Commen with Id 188
189,38,2,150,9,Some Random Commen with Id 189
190,38,2,75,5,Some Random Commen with Id 190
191,39,4,134,8,Some Random Commen with Id 191
192,39,4,52,3,Some Random Commen with Id 192
